ProjectId,TaskId,UserId
15621,99,15596
15621,65,15596
15621,179,15596
15621,180,15596
15621,181,15596
15621,182,15596
15621,184,15596
15621,190,15596
15621,191,15596
15621,200,15596
15621,208,15596
15621,209,15596
15621,196,15596
15621,204,15598
15621,205,15598
15621,148,15596
15621,141,15596
15621,150,15596
15621,159,15596
15621,161,15598
15621,206,15596
15621,207,15596
15621,210,15596
15621,211,15596
15621,212,15598
15621,261,15598
15621,262,15598
15621,264,15598
15621,265,15598
